Articulo,,,Marca,Categ,Grupo
Apoyamanos grande sin mantel,,5270,,,UÑAS
Apoyamanos con mantel,,5670,,,UÑAS
Apoyamanos chico,,4620,,,UÑAS
Apoyamanos outlet,,4620,,,UÑAS
Delantal,,10940,,,UÑAS
Balines en blíster y balines más Deco encapsular Beauty sky ,,1720,,DECO,UÑAS
Serpientes/armas strass ,,2660,,DECO,UÑAS
Brocha sirena (339),,1980,,BROCHAS,UÑAS
Brocha cola sirena ,,2160,,BROCHAS,UÑAS
Brocha ruibla azul en caja negra,,1730,,BROCHAS,UÑAS
Cabina Sun ONE 48w ,,9950,SUN,CABINAS,UÑAS
Cabina Sun x5 110w con fuente,,22540,SUN,CABINAS,UÑAS
Cadena para uñas con dije en blíster ,,1820,,DECO,UÑAS
Cadenas en cajita x6,,1270,,DECO,UÑAS
Cajas guantes dedo ,,2870,,,UÑAS
Canastos celestes chicos ,,800,,,UÑAS
Canasto lila grande ,,1020,,,UÑAS
Cápsulas dual professional nail tips ,,3190,CITY GIRL,CONSTRUCCIÓN,UÑAS
Cápsulas dual caja grande,,3500,CITY GIRL,CONSTRUCCIÓN,UÑAS
Cápsulas dual en caja stilettos/ coffin ,,2700,,CONSTRUCCIÓN,UÑAS
Cáspsulas dual en blister blanco ,,2700,,CONSTRUCCIÓN,UÑAS
Cápsula dual professional nail,,2440,,CONSTRUCCIÓN,UÑAS
Cepillo con mango facial/uñas ,,1050,,,UÑAS
Cepillos x2 tina ,380,690,,,UÑAS
Corta cutículas + repuj ,,4830,,HERRAMIENTAS,UÑAS
Corta cuticulas Bei Bei ,,1980,,HERRAMIENTAS,UÑAS
Corta cutículas,,2430,CITY GIRL,HERRAMIENTAS,UÑAS
Corta cutículas plateado,,2440,ELOISE,HERRAMIENTAS,UÑAS
Corta cutículas tornasol,,2870,ELOISE,HERRAMIENTAS,UÑAS
Corta cutículas mango rosa,,2180,ELOISE,HERRAMIENTAS,UÑAS
Corta cuticulas soligen,,2440,,HERRAMIENTAS,UÑAS
Corta cutículas trim ,,1980,,HERRAMIENTAS,UÑAS
Corta tips con disco de medidas ,,4870,,HERRAMIENTAS,UÑAS
Corta tips rosa común,,2290,,HERRAMIENTAS,UÑAS
Crema exfoliante y humectante nail show ,,1570,,,UÑAS
Deco metal encapsular city (711) ,,2190,CITY GIRL,DECO,UÑAS
Discos metálicos uñas city girl ,,1250,,,UÑAS
Dotting x5,310,1250,,HERRAMIENTAS,UÑAS
Esmaltes miss cherry / neon,,1250,,ESMALTES,UÑAS
Exhibidor esmaltes ,,13410,,,UÑAS
Fibron para remover esmalte,,600,,,UÑAS
Fimos en blíster ,,550,,,UÑAS
Fresas carburo ,,2970,,FRESAS,UÑAS
Fresas cerámica ,,2440,,FRESAS,UÑAS
Fresas manicuría rusa ,,4870,,FRESAS,UÑAS
Fresas metal diamantada ,,1130,,FRESAS,UÑAS
Fresas pulidoras en blíster x 10,,4870,,FRESAS,UÑAS
Fresas pulidoras rosa,,890,,FRESAS,UÑAS
Discos de lijado pies,,6430,,FRESAS,UÑAS
Gel fengshangmei x30,,4710,FENGSHANMEI,,UÑAS
Gel fengshangmei x50,,7240,FENGSHANMEI,,UÑAS
Guantes caja amarilla(negros)  ,,6380,,,UÑAS
Guantes caja azul y blanca (azules),,5400,,,UÑAS
Kawaii en bolsa x10 ,,2440,,DECO,UÑAS
Kawaii en caja ,,2700,,DECO,UÑAS
Lima obelisco,,550,,LIMAS,UÑAS
Limas 80 ,,490,CITY GIRL,LIMAS,UÑAS
Limas cilindro caja ,,2440,,LIMAS,UÑAS
Limas lavables ,,550,,LIMAS,UÑAS
Limas opi ,,360,,LIMAS,UÑAS
Limas city color,,550,CITY GIRL,LIMAS,UÑAS
Limas sk,,460,,LIMAS,UÑAS
Liners x3 tornasol (amarillo celeste rosa) ,,2440,,PINCELES,UÑAS
Liners x3 mango negro liso,,1140,,PINCELES,UÑAS
Liners x3 mango negro con puntitos de colores,,2290,,PINCELES,UÑAS
Liners x1,,1480,PARIS NIGHT,PINCELES,UÑAS
Liners x3,,3850,PARIS NIGHT,PINCELES,UÑAS
Liners x3 fino blanco nacarado,,1720,,PINCELES,UÑAS
Liners x3 mango transparente,,2740,,PINCELES,UÑAS
Liners x3 ZMA,,2440,,PINCELES,UÑAS
Liners x3 EzFlow,,2970,,PINCELES,UÑAS
Mariposa 3d plásticas ,,2870,,DECO,UÑAS
Mariposas y moños 3d ,,2740,,DECO,UÑAS
Mariposas y moños plásticas en blíster círculos ,,1110,,DECO,UÑAS
Osos metal en blíster ,,2440,,DECO,UÑAS
Palo naranjo x100  ,,2060,,,UÑAS
Palo naranjo plástico con glitter,,1250,,,UÑAS
Pedrería beauty sky piedras y strass ,,2700,,DECO,UÑAS
Piedras opal x 6 divisores (735) ,,1980,,DECO,UÑAS
Pigmento aurora  sobre rosa ,,1720,,DECO,UÑAS
Pigmento París night oro y plata  ,,1730,PARIS NIGHT,DECO,UÑAS
Pigmento y papel oro picado ,,1250,,DECO,UÑAS
Pigmento torre,,1490,,DECO,UÑAS
Pincel difuminar sirena Camila show ,,1360,,PINCELES,UÑAS
Pincel difuminar pata de cabra,,1210,,PINCELES,UÑAS
Pincel silicona doble piedra color adentro x5,570,2290,,PINCELES,UÑAS
Pincel silicona doble y lima obelisco piedras transparente adentro ,,890,,PINCELES,UÑAS
Pincel silicona mango madera ,,550,,PINCELES,UÑAS
Pincel silicona tamaño chico x3,,1820,,PINCELES,UÑAS
Pinceles nail art one stroke x1,,670,,PINCELES,UÑAS
Pincelex x3 mango strass almendra,,2440,,PINCELES,UÑAS
Pinceles x3 cola sirena almendra,,2740,,PINCELES,UÑAS
Capuchones para remover semip manos  ,,2100,,HERRAMIENTAS,UÑAS
Capuchones para remover semip pies ,,1450,,HERRAMIENTAS,UÑAS
Placa + sello + difuminador en blister ,,2210,,,UÑAS
Poligel Charm Limit x30 ,,4020,CHARM LIMIT,CONSTRUCCIÓN,UÑAS
Poligel Charm Limit x60 ,,6280,CHARM LIMIT,CONSTRUCCIÓN,UÑAS
Poligel x30,,4790,FENGSHANMEI,CONSTRUCCIÓN,UÑAS
Poligel x50 ,,7300,FENGSHANMEI,CONSTRUCCIÓN,UÑAS
Porta limas herramientas rosa ,,1500,,,UÑAS
Porta tips ajedrez ,,2210,,,UÑAS
Porta tips plástico ,,1890,,,UÑAS
Repujador,,550,OPI,HERRAMIENTAS,UÑAS
Sello difuminador con repuestos,,2740,,,UÑAS
Sello silicona 10G 630 y 2606  ,,2210,,,UÑAS
Strass 5 medidas (dividido) Vicky nail ,,1950,,DECO,UÑAS
Strass city todas las medidas dorado plateado tornasol blanco ,,1950,,DECO,UÑAS
"Strass city, negro, dorado ,plata, transparente blíster surt (075) ",,1950,,DECO,UÑAS
Strass color separados  (ING decorations),,1950,,DECO,UÑAS
Strass x6 medidas de color Beauty sky art 632 ,,1950,,DECO,UÑAS
Strass y dijes encapsular  en blíster x 6 divisiones ,,1570,,DECO,UÑAS
Strass y piedras en caja Beauty sky ,,2620,,DECO,UÑAS
Uñeros x50 ,,1720,,,UÑAS
Uñeros x50 stiletto,,1950,,,UÑAS
Vincha spa moño ,,2290,,,UÑAS
Top y reinforcement,,2410,CHARM LIMIT,ESMALTES,UÑAS
Base y top aprobado,,2410,CHARM LIMIT,ESMALTES,UÑAS
Esmalte tapa negra,,1500,CHARM LIMIT,ESMALTES,UÑAS
